team,team_efficiency,rest_days,betting_volume,win,game_date,score,season
Nuggets,1.1788826609961054,4,3885,1,2025-01-19,128,2024-2025
Warriors,1.1340522610843249,1,7148,1,2025-01-19,117,2024-2025
Mavericks,0.9423257688829872,2,2164,0,2025-01-19,111,2024-2025
Celtics,1.1992966423687403,1,1779,0,2025-01-19,88,2024-2025
Suns,0.8892482676867254,5,6504,0,2025-01-18,94,2024-2025
Mavericks,1.0314637444888857,2,6702,0,2025-01-18,103,2024-2025
Bucks,0.8554336154182789,5,6529,0,2025-01-18,113,2024-2025
Nets,1.134014767079747,1,8795,1,2025-01-18,118,2024-2025
Lakers,0.9902874317755462,1,5932,1,2025-01-18,113,2024-2025
76ers,1.16852455997584,2,4509,1,2025-01-18,103,2024-2025
Warriors,1.1610175758234726,3,1524,0,2025-01-18,96,2024-2025
Celtics,1.1248302490944482,2,3871,1,2025-01-18,97,2024-2025
Heat,1.1819072960498989,1,7037,0,2025-01-17,94,2024-2025
Nets,0.811589969174036,4,3322,1,2025-01-17,105,2024-2025
Bucks,1.177301878945813,1,4108,0,2025-01-17,94,2024-2025
Nuggets,1.1806740733688277,2,9490,0,2025-01-17,98,2024-2025
Celtics,1.110873668127882,3,6356,0,2025-01-17,102,2024-2025
Lakers,1.1099541447297976,1,4315,1,2025-01-17,106,2024-2025
76ers,0.916129918942341,2,7329,0,2025-01-17,93,2024-2025
Suns,0.9893140661235724,1,5871,1,2025-01-17,100,2024-2025
Mavericks,1.1162936445780736,4,4814,0,2025-01-16,104,2024-2025
Heat,1.0687092070436717,3,6518,0,2025-01-16,97,2024-2025
Lakers,1.0434898357583904,1,8789,1,2025-01-16,117,2024-2025
Warriors,0.9946902538291214,2,2196,0,2025-01-16,96,2024-2025
Nuggets,0.9100408503029704,1,2078,1,2025-01-16,120,2024-2025
Suns,1.086014582465051,1,6114,1,2025-01-16,117,2024-2025
Celtics,0.8951534751379893,3,9451,0,2025-01-16,86,2024-2025
Bucks,0.984977434276004,5,5807,1,2025-01-16,87,2024-2025
Nets,1.0447328614354543,3,7978,0,2025-01-16,96,2024-2025
76ers,1.1623625158387996,1,7844,1,2025-01-16,128,2024-2025
Heat,1.076542235896601,3,2286,0,2025-01-15,86,2024-2025
Suns,0.9217494204219217,3,1126,1,2025-01-15,109,2024-2025
Nuggets,1.1305484512825854,1,1557,0,2025-01-15,95,2024-2025
Mavericks,1.0897565747641262,1,1395,1,2025-01-15,105,2024-2025
76ers,1.0582171618019267,4,4387,1,2025-01-15,111,2024-2025
Lakers,1.001021037044773,4,5384,0,2025-01-15,108,2024-2025
Warriors,1.069484689283565,2,2357,0,2025-01-15,87,2024-2025
Bucks,0.8589367504390257,5,6806,1,2025-01-15,107,2024-2025
Celtics,1.0096095489955974,5,2054,0,2025-01-15,93,2024-2025
Nets,0.8468229412130788,5,2546,1,2025-01-15,101,2024-2025
Celtics,1.0257204632451251,3,4106,1,2025-01-14,106,2024-2025
Nuggets,1.113078426041986,2,6398,0,2025-01-14,110,2024-2025
Suns,0.9872500326290462,2,9389,0,2025-01-14,120,2024-2025
Heat,1.1591183660394204,5,5708,0,2025-01-14,120,2024-2025
76ers,1.001861312428987,4,2030,1,2025-01-14,115,2024-2025
Warriors,1.1902085332129433,3,9250,0,2025-01-14,85,2024-2025
Nets,0.9266072089098571,3,4495,1,2025-01-14,127,2024-2025
Bucks,0.8977689108770014,1,5457,0,2025-01-14,86,2024-2025
Warriors,0.8741771526164474,2,2087,0,2025-01-13,116,2024-2025
Mavericks,0.8117224153913231,4,6525,1,2025-01-13,119,2024-2025
Celtics,1.1158893984415554,3,1971,1,2025-01-13,104,2024-2025
Nuggets,1.0770547409417714,1,5153,0,2025-01-13,102,2024-2025
Suns,0.8216607656885627,5,4919,1,2025-01-13,110,2024-2025
Nets,0.8947595069075722,4,6128,0,2025-01-13,89,2024-2025
Lakers,0.9707707555244112,5,3375,1,2025-01-13,119,2024-2025
Bucks,1.157319600495288,2,9098,1,2025-01-13,123,2024-2025
Heat,0.8486708316007353,3,1301,0,2025-01-13,111,2024-2025
76ers,1.0039772220503846,3,1566,0,2025-01-13,109,2024-2025
Nuggets,1.1250627643589892,5,8622,0,2025-01-12,99,2024-2025
Nets,1.003099211980932,3,7036,1,2025-01-12,115,2024-2025
Warriors,1.0677903603342291,1,7727,1,2025-01-12,125,2024-2025
Celtics,0.8138828218876495,2,1184,1,2025-01-12,90,2024-2025
Suns,0.986932244022364,2,4295,0,2025-01-12,85,2024-2025
Heat,0.8597330225790162,5,1007,0,2025-01-12,115,2024-2025
Lakers,0.98036560913328,5,1540,0,2025-01-12,89,2024-2025
76ers,0.9043291372479758,1,7783,1,2025-01-12,127,2024-2025
Bucks,1.0969163914473703,3,6846,0,2025-01-12,115,2024-2025
Mavericks,1.043931540175865,2,1329,1,2025-01-12,129,2024-2025
Nuggets,0.9975066046907728,5,8070,0,2025-01-11,111,2024-2025
Lakers,0.9334892549861932,2,5105,1,2025-01-11,120,2024-2025
Heat,0.8380452030017086,2,4543,0,2025-01-11,106,2024-2025
Warriors,0.9480931887104058,3,8893,1,2025-01-11,108,2024-2025
Nets,0.93269953074201,4,6447,1,2025-01-11,113,2024-2025
76ers,0.9835619944991336,5,5742,0,2025-01-11,97,2024-2025
Bucks,0.9394240014804206,2,2280,1,2025-01-11,104,2024-2025
Celtics,1.1935813069660497,1,5298,0,2025-01-11,92,2024-2025
Mavericks,1.0825270683785966,5,1147,0,2025-01-10,86,2024-2025
Warriors,1.1284449786663937,3,9902,0,2025-01-10,88,2024-2025
Suns,0.8258742484667678,4,6805,1,2025-01-10,91,2024-2025
Celtics,1.0757402561444172,1,1301,0,2025-01-10,109,2024-2025
Lakers,1.1884122228167866,4,4503,1,2025-01-10,123,2024-2025
Nets,1.0593658351464104,2,5854,1,2025-01-10,115,2024-2025
Bucks,1.0228004192624578,2,9712,1,2025-01-10,107,2024-2025
76ers,0.8825597318562077,5,9936,0,2025-01-10,94,2024-2025
Mavericks,1.147812467153827,2,4895,0,2025-01-09,101,2024-2025
Celtics,0.898042975575215,1,9586,1,2025-01-09,105,2024-2025
Warriors,1.078142269229046,1,9831,0,2025-01-09,101,2024-2025
Lakers,0.8690417143646818,2,6864,1,2025-01-09,102,2024-2025
Bucks,1.0140286609211209,1,3977,0,2025-01-09,85,2024-2025
Suns,1.1406777341799643,2,9308,1,2025-01-09,115,2024-2025
Heat,0.9500536993575358,2,6695,1,2025-01-09,118,2024-2025
Nets,0.9116761192288088,5,2696,0,2025-01-09,98,2024-2025
76ers,1.1034821066551506,4,2575,1,2025-01-08,127,2024-2025
Nuggets,1.0127885602354714,3,5802,0,2025-01-08,104,2024-2025
Celtics,1.0037858322460635,1,5028,1,2025-01-08,113,2024-2025
Nets,0.9033763211329844,1,9023,0,2025-01-08,99,2024-2025
Bucks,1.0208036648180288,5,5899,1,2025-01-08,114,2024-2025
Heat,0.9207390101097968,3,6305,0,2025-01-08,111,2024-2025
Lakers,1.0703867074942284,2,2394,1,2025-01-08,107,2024-2025
Suns,0.8306122044485438,3,2806,0,2025-01-08,90,2024-2025
Warriors,0.8875675180497308,3,3852,1,2025-01-08,117,2024-2025
Mavericks,0.8241173438767951,4,5578,0,2025-01-08,114,2024-2025
76ers,1.13929339583773,3,1348,1,2025-01-07,91,2024-2025
Bucks,1.1555760447770052,4,6164,0,2025-01-07,89,2024-2025
Suns,1.0313801836310938,3,7337,0,2025-01-07,106,2024-2025
Nuggets,0.8134115040170153,3,3161,1,2025-01-07,111,2024-2025
Mavericks,0.8969178208666009,1,4983,0,2025-01-07,126,2024-2025
Lakers,1.087786030173961,4,8979,0,2025-01-07,126,2024-2025
Warriors,0.8314741944603687,2,5315,0,2025-01-07,89,2024-2025
Heat,1.1399224837812076,4,4186,1,2025-01-07,95,2024-2025
Nuggets,0.8682507300003,1,3387,0,2025-01-06,118,2024-2025
Warriors,1.1228653815975882,5,3587,1,2025-01-06,111,2024-2025
Lakers,1.1734042537780034,3,3306,0,2025-01-06,102,2024-2025
Heat,1.0606588041525886,3,9306,1,2025-01-06,119,2024-2025
Bucks,0.91524785408994,2,4365,1,2025-01-06,93,2024-2025
Suns,0.8947623673303525,1,1191,0,2025-01-06,88,2024-2025
Mavericks,0.808821602506611,5,2926,1,2025-01-06,110,2024-2025
Celtics,1.022978184882501,3,1929,0,2025-01-06,89,2024-2025
Heat,1.0800137464157258,2,3304,0,2025-01-05,117,2024-2025
Lakers,1.0009244782621949,3,6978,1,2025-01-05,123,2024-2025
Bucks,1.1980800545193278,4,7431,0,2025-01-05,89,2024-2025
Celtics,0.8610374008322441,4,4959,1,2025-01-05,121,2024-2025
Warriors,0.990710586397208,2,3593,0,2025-01-05,92,2024-2025
Suns,0.8552100518775345,3,7170,1,2025-01-05,102,2024-2025
Nuggets,1.1064188325302844,4,1403,1,2025-01-05,112,2024-2025
Mavericks,0.9566448176144636,5,8141,0,2025-01-05,95,2024-2025
Bucks,0.8490201876652357,1,9252,1,2025-01-04,115,2024-2025
Warriors,0.8622884450136864,3,6790,0,2025-01-04,96,2024-2025
Lakers,0.8802187108562908,1,3212,1,2025-01-04,128,2024-2025
Nets,0.8727842938917298,5,7005,0,2025-01-04,91,2024-2025
Celtics,0.8614586810361582,5,2253,0,2025-01-04,95,2024-2025
Mavericks,0.8594489703489482,4,5159,1,2025-01-04,104,2024-2025
76ers,1.06515094108385,2,7361,1,2025-01-04,105,2024-2025
Suns,1.1741799042515704,1,5151,0,2025-01-04,93,2024-2025
Lakers,0.9343151161520322,5,3484,1,2025-01-03,122,2024-2025
Suns,1.1316804130275504,3,6598,0,2025-01-03,108,2024-2025
Mavericks,1.1989983756488405,4,3228,1,2025-01-03,123,2024-2025
Nuggets,1.014780848040493,1,3960,0,2025-01-03,96,2024-2025
Celtics,1.156552006580405,2,9143,0,2025-01-03,116,2024-2025
76ers,0.8473624143369429,5,5118,1,2025-01-03,129,2024-2025
Heat,1.051768723824875,5,5962,0,2025-01-03,109,2024-2025
Bucks,0.9422012497882108,4,7941,1,2025-01-03,122,2024-2025
Nuggets,0.9074587235263843,3,4946,0,2025-01-02,87,2024-2025
Nets,0.8779682805232254,1,2507,1,2025-01-02,89,2024-2025
Lakers,0.8759703550031479,2,6258,0,2025-01-02,85,2024-2025
Suns,1.096108220690682,2,6532,1,2025-01-02,123,2024-2025
Mavericks,1.1967959383246587,2,6712,0,2025-01-02,88,2024-2025
Celtics,1.107745916160194,5,6682,1,2025-01-02,124,2024-2025
Bucks,0.8215197549111977,1,7851,1,2025-01-02,100,2024-2025
Heat,1.0142212406897977,1,1943,0,2025-01-02,88,2024-2025
76ers,0.9870499771356464,2,7541,1,2025-01-02,105,2024-2025
Warriors,0.9938853345948044,3,9296,0,2025-01-02,85,2024-2025
Nets,0.9828666758270308,2,6823,1,2025-01-01,118,2024-2025
Celtics,1.0722998178672682,2,5308,0,2025-01-01,104,2024-2025
Bucks,0.9316718728571964,1,8316,0,2025-01-01,90,2024-2025
Warriors,0.9983725743742382,2,5170,1,2025-01-01,101,2024-2025
76ers,0.9004767685106039,2,4795,0,2025-01-01,99,2024-2025
Suns,1.157001855408618,5,2675,1,2025-01-01,128,2024-2025
Nuggets,1.0500498798408782,1,1938,1,2025-01-01,114,2024-2025
Lakers,0.8179242351636503,1,3789,0,2025-01-01,99,2024-2025
Nets,0.9786309466622156,3,2884,1,2024-12-31,104,2024-2025
Warriors,0.9664265374363392,5,3299,0,2024-12-31,91,2024-2025
Lakers,1.1733389229030038,4,2551,1,2024-12-31,128,2024-2025
Suns,0.8851014433236662,5,3025,0,2024-12-31,96,2024-2025
Celtics,0.961410266535108,1,5032,1,2024-12-31,127,2024-2025
Heat,0.952656697624462,1,7807,0,2024-12-31,108,2024-2025
Nuggets,0.8121143200980646,2,4849,0,2024-12-31,91,2024-2025
76ers,0.9315814463740404,1,5367,1,2024-12-31,109,2024-2025
Lakers,0.932262580180518,3,6001,1,2024-12-30,112,2024-2025
Nuggets,1.101467164191838,2,6407,0,2024-12-30,110,2024-2025
76ers,1.0478206655371165,1,4039,0,2024-12-30,87,2024-2025
Nets,0.8276116300004241,4,3354,1,2024-12-30,94,2024-2025
Celtics,1.058642413246245,1,1079,0,2024-12-30,90,2024-2025
Bucks,1.0611033278433983,2,7397,1,2024-12-30,95,2024-2025
Warriors,0.924020447861044,2,8370,0,2024-12-30,101,2024-2025
Mavericks,1.142231026933159,2,9901,1,2024-12-30,129,2024-2025
Bucks,0.8166654236037592,3,5614,0,2024-12-29,103,2024-2025
Celtics,0.9726192286094522,4,4819,1,2024-12-29,106,2024-2025
Heat,1.1981387270371966,4,5078,0,2024-12-29,102,2024-2025
76ers,1.0231526551937984,5,9692,1,2024-12-29,121,2024-2025
Mavericks,0.9204207259380668,5,9549,0,2024-12-29,117,2024-2025
Suns,0.904137263625519,2,4763,1,2024-12-29,106,2024-2025
Nuggets,0.9053820115160413,4,5329,1,2024-12-29,128,2024-2025
Warriors,0.9294999535970782,2,2190,0,2024-12-29,113,2024-2025
Lakers,1.1506613046738792,2,6974,1,2024-12-28,120,2024-2025
Celtics,0.8745685399708347,1,5698,0,2024-12-28,106,2024-2025
Nets,1.002094422635308,5,8459,1,2024-12-28,126,2024-2025
Mavericks,1.1981982003486102,1,2098,0,2024-12-28,108,2024-2025
Heat,0.8537343899084983,2,5592,0,2024-12-28,111,2024-2025
Warriors,1.1633570255921026,2,6498,1,2024-12-28,129,2024-2025
Nuggets,0.8661775971236951,5,8369,1,2024-12-28,125,2024-2025
Suns,1.0131523790474457,4,9281,0,2024-12-28,119,2024-2025
Nuggets,0.8957723220231846,2,4820,1,2024-12-27,111,2024-2025
Mavericks,1.1322301980279257,2,1293,1,2024-12-27,108,2024-2025
Suns,1.1859230361265394,2,4319,0,2024-12-27,85,2024-2025
Bucks,0.9071427357234638,1,3239,0,2024-12-27,89,2024-2025
Warriors,1.1696522499770776,2,3797,1,2024-12-27,125,2024-2025
Celtics,1.1477642434882669,5,3008,0,2024-12-27,108,2024-2025
Heat,1.0124341136551185,5,8941,1,2024-12-27,119,2024-2025
Lakers,0.9608581899249664,5,8630,0,2024-12-27,88,2024-2025
Mavericks,1.0268808337259,2,5257,0,2024-12-26,96,2024-2025
Celtics,0.9379370229188648,5,3836,0,2024-12-26,100,2024-2025
Warriors,1.1916300629271803,2,4298,1,2024-12-26,102,2024-2025
Bucks,1.0764777373002898,3,5663,0,2024-12-26,90,2024-2025
Nuggets,1.1699197546139035,4,3514,1,2024-12-26,126,2024-2025
Heat,1.007974473028256,4,9013,1,2024-12-26,112,2024-2025
Suns,0.8086171782670997,3,8792,0,2024-12-26,106,2024-2025
Nets,0.8575961921503555,4,9904,1,2024-12-26,126,2024-2025
Lakers,0.8503394829397337,1,1473,0,2024-12-26,117,2024-2025
76ers,1.0681015977265074,4,7316,1,2024-12-26,129,2024-2025
Lakers,0.8531298291054354,4,7288,0,2024-12-25,101,2024-2025
Heat,0.8080691881080255,2,7218,1,2024-12-25,95,2024-2025
Warriors,0.9941351331966314,1,9151,0,2024-12-25,89,2024-2025
Suns,0.8834486882085424,3,3680,1,2024-12-25,102,2024-2025
Bucks,1.1895609479457094,5,8680,0,2024-12-25,86,2024-2025
76ers,1.0949143631225084,4,7267,0,2024-12-25,103,2024-2025
Celtics,1.0743172420127671,1,7597,1,2024-12-25,126,2024-2025
Nuggets,0.9047680260874696,4,6168,0,2024-12-25,89,2024-2025
Nets,0.9182485698425455,4,3406,1,2024-12-25,108,2024-2025
Mavericks,0.859522652417421,3,7647,1,2024-12-25,126,2024-2025
Nuggets,0.9677627539749292,3,4620,0,2024-12-24,125,2024-2025
Heat,1.1964029548946125,1,5869,1,2024-12-24,103,2024-2025
Suns,0.8093704169286364,1,8379,0,2024-12-24,100,2024-2025
Lakers,0.8894426122657667,5,2402,1,2024-12-24,110,2024-2025
Nets,1.012901605067294,2,5423,0,2024-12-24,125,2024-2025
76ers,1.1218784609882335,4,3727,0,2024-12-24,97,2024-2025
Celtics,0.8587847713913488,5,6754,1,2024-12-24,129,2024-2025
Warriors,0.8991638454748849,3,7146,0,2024-12-24,89,2024-2025
Mavericks,1.0898445672269312,1,6930,1,2024-12-24,104,2024-2025
Bucks,0.8529953873601662,2,8993,0,2024-12-24,103,2024-2025
Mavericks,1.068159759715828,5,7475,1,2024-12-23,123,2024-2025
Bucks,0.8472762478687434,3,5340,0,2024-12-23,122,2024-2025
Nuggets,1.08102282391599,2,9328,0,2024-12-23,104,2024-2025
76ers,1.139391487569868,2,3853,1,2024-12-23,109,2024-2025
Celtics,1.0466299750678705,5,5165,0,2024-12-23,118,2024-2025
Nets,0.8673112597227587,1,9088,1,2024-12-23,122,2024-2025
Suns,0.8322036473474206,1,9158,1,2024-12-23,121,2024-2025
Warriors,1.181028758753054,1,8826,0,2024-12-23,93,2024-2025
Mavericks,1.0509575807478335,5,4762,0,2024-12-22,109,2024-2025
Heat,1.0828525828886124,3,7888,1,2024-12-22,122,2024-2025
76ers,1.1380134458076108,4,5796,0,2024-12-22,96,2024-2025
Bucks,0.9410068850217244,4,5801,1,2024-12-22,112,2024-2025
Nuggets,1.0952136986814365,1,4546,0,2024-12-22,118,2024-2025
Nets,0.8132022943586888,2,1973,1,2024-12-22,115,2024-2025
Lakers,0.912407129856838,2,8400,0,2024-12-22,87,2024-2025
Celtics,0.9468447634923096,3,4233,1,2024-12-22,107,2024-2025
Warriors,0.9356236146962368,2,1473,1,2024-12-21,126,2024-2025
76ers,0.9038845658973608,1,3616,0,2024-12-21,120,2024-2025
Lakers,0.8394500419958459,1,4611,1,2024-12-21,109,2024-2025
Celtics,0.8596051520140533,5,6924,0,2024-12-21,92,2024-2025
Heat,1.0508767868905562,4,1586,1,2024-12-21,107,2024-2025
Bucks,1.0360521036336867,4,7342,1,2024-12-21,109,2024-2025
Mavericks,1.088630122117891,2,7279,0,2024-12-21,95,2024-2025
Nuggets,1.0299169873304084,2,2651,1,2024-12-21,115,2024-2025
Suns,0.9939577440476256,5,5902,0,2024-12-21,87,2024-2025
Nets,0.873792469897722,3,1471,0,2024-12-21,105,2024-2025
76ers,0.9027827377297876,2,6286,0,2024-12-20,96,2024-2025
Lakers,0.9535267704713284,4,1449,1,2024-12-20,120,2024-2025
Bucks,0.9918203403867096,5,7271,1,2024-12-20,113,2024-2025
Suns,1.0941372933637952,4,7557,0,2024-12-20,104,2024-2025
Celtics,0.9911188229528174,5,5340,1,2024-12-20,120,2024-2025
Mavericks,0.8086152540054821,5,5457,0,2024-12-20,98,2024-2025
Nets,0.8493026947854457,3,3976,1,2024-12-20,121,2024-2025
Nuggets,1.197433510643571,4,7565,0,2024-12-20,114,2024-2025
76ers,0.9478573671143,2,8596,1,2024-12-19,113,2024-2025
Bucks,1.0810049595574698,3,3768,0,2024-12-19,93,2024-2025
Celtics,0.9286044134740848,5,6726,0,2024-12-19,95,2024-2025
Lakers,1.1645889638672653,2,1012,1,2024-12-19,117,2024-2025
Nuggets,1.0129255934737451,5,1293,0,2024-12-19,89,2024-2025
Suns,1.0376174556683262,4,8330,1,2024-12-19,111,2024-2025
Warriors,0.8144056794004121,5,1522,0,2024-12-19,92,2024-2025
Heat,1.1136905984947896,2,1650,1,2024-12-19,118,2024-2025
Heat,1.0675369203340677,1,6387,1,2024-12-18,111,2024-2025
